Date,close,date,high,low,open,quoteVolume,volume,weightedAverage
2015-01-01,7.777e-05,1420156800,7.801e-05,7.61e-05,7.68e-05,235543.21283525,18.2835039,7.762e-05
2015-01-02,7.389e-05,1420243200,7.85e-05,6.9e-05,7.777e-05,678686.07391529,50.18973558,7.395e-05
2015-01-03,6.876e-05,1420329600,7.389e-05,6.584e-05,7.191e-05,1375164.2883451,94.42195348,6.866e-05
2015-01-04,7.497e-05,1420416000,7.597e-05,6.783e-05,6.783e-05,517927.53478003,38.30367447,7.395e-05
2015-01-05,7.311e-05,1420502400,7.637e-05,7.16e-05,7.402e-05,762094.86569564,56.54856633,7.42e-05
2015-01-06,7.2e-05,1420588800,7.45e-05,7.007e-05,7.311e-05,637946.40685805,45.54733289,7.139e-05
2015-01-07,7.195e-05,1420675200,7.303e-05,7.109e-05,7.23e-05,552159.08269304,39.69100599,7.188e-05
2015-01-08,7.152e-05,1420761600,7.409e-05,7.15e-05,7.257e-05,307359.53968308,22.4951508,7.318e-05
2015-01-09,7.11e-05,1420848000,7.401e-05,6.878e-05,7.204e-05,956690.55096395,68.05206177,7.113e-05
2015-01-10,7.073e-05,1420934400,7.114e-05,6.6e-05,7.112e-05,1322687.3781176,90.74694781,6.86e-05
2015-01-11,6.633e-05,1421020800,7.099e-05,6.633e-05,7.087e-05,713222.78210402,49.0301022,6.874e-05
2015-01-12,6.474e-05,1421107200,6.895e-05,6.1e-05,6.777e-05,625848.02804988,40.87056488,6.53e-05
2015-01-13,8.037e-05,1421193600,8.21e-05,6.441e-05,6.515e-05,1751876.2251508,129.08056676,7.368e-05
2015-01-14,8.008e-05,1421280000,8.6e-05,7.555e-05,8.172e-05,1454204.0445312,116.54100459,8.014e-05
2015-01-15,7.815e-05,1421366400,8.099e-05,7.626e-05,7.962e-05,426650.35492821,33.43404032,7.836e-05
2015-01-16,7.606e-05,1421452800,7.82e-05,7.59e-05,7.733e-05,106323.3351777,8.19274118,7.705e-05
2015-01-17,7.496e-05,1421539200,7.728e-05,7.163e-05,7.641e-05,305424.16659001,22.79038793,7.461e-05
2015-01-18,7.582e-05,1421625600,7.654e-05,7.402e-05,7.497e-05,168064.38156252,12.62051228,7.509e-05
2015-01-19,7.869e-05,1421712000,7.871e-05,7.499e-05,7.616e-05,729738.72362093,56.01176062,7.675e-05
2015-01-20,7.475e-05,1421798400,8.099e-05,7.475e-05,7.873e-05,546030.57461472,42.25379639,7.738e-05
2015-01-21,7.292e-05,1421884800,7.474e-05,7.172e-05,7.474e-05,541471.92172712,39.45551017,7.286e-05
2015-01-22,7.144e-05,1421971200,7.414e-05,7.077e-05,7.32e-05,324789.03362701,23.3766565,7.197e-05
2015-01-23,6.666e-05,1422057600,7.34e-05,6.509e-05,7.144e-05,848167.68777904,58.72139581,6.923e-05
2015-01-24,6.507e-05,1422144000,6.999e-05,6.481e-05,6.666e-05,531512.8002246,35.15297475,6.613e-05
2015-01-25,5.986e-05,1422230400,6.501e-05,5.263e-05,6.501e-05,1204967.6057132,69.38906598,5.758e-05
2015-01-26,5.904e-05,1422316800,6.447e-05,5.793e-05,5.915e-05,499750.48556279,30.57596396,6.118e-05
2015-01-27,6.2e-05,1422403200,6.298e-05,5.851e-05,5.902e-05,310327.84480456,18.86071275,6.077e-05
2015-01-28,6.111e-05,1422489600,6.571e-05,6.039e-05,6.211e-05,371355.85598116,23.58008876,6.349e-05
2015-01-29,6.312e-05,1422576000,6.318e-05,6.1e-05,6.111e-05,235225.90171311,14.60899061,6.21e-05
2015-01-30,6.473e-05,1422662400,6.55e-05,6.147e-05,6.255e-05,435817.8860335,27.62273358,6.338e-05
2015-01-31,6.05e-05,1422748800,6.606e-05,6.05e-05,6.5e-05,366008.95844365,23.5347002,6.43e-05
2015-02-01,5.768e-05,1422835200,6.196e-05,5.754e-05,6.075e-05,221376.31803153,13.25153679,5.985e-05
2015-02-02,5.81e-05,1422921600,5.875e-05,5.386e-05,5.69e-05,553066.39454697,30.86741502,5.581e-05
2015-02-03,5.969e-05,1423008000,6.27e-05,5.75e-05,5.797e-05,514991.28789731,30.92162686,6.004e-05
2015-02-04,7.154e-05,1423094400,7.269e-05,5.888e-05,5.889e-05,1310228.4627297,86.26602628,6.584e-05
2015-02-05,6.385e-05,1423180800,7.491e-05,6.333e-05,7.262e-05,999924.02054478,69.01812274,6.902e-05
2015-02-06,6.555e-05,1423267200,6.667e-05,6.169e-05,6.45e-05,277406.70542083,17.69121986,6.377e-05
2015-02-07,6.49e-05,1423353600,6.555e-05,6e-05,6.53e-05,595117.05277644,37.90936286,6.37e-05
2015-02-08,6.288e-05,1423440000,6.434e-05,6.178e-05,6.414e-05,476551.65769637,30.00407832,6.296e-05
2015-02-09,6.208e-05,1423526400,6.378e-05,6.066e-05,6.212e-05,492267.45188618,30.45004389,6.185e-05
2015-02-10,6.199e-05,1423612800,6.299e-05,6.101e-05,6.133e-05,250942.44616004,15.53091463,6.189e-05
2015-02-11,6.362e-05,1423699200,6.399e-05,6.224e-05,6.26e-05,170450.75836486,10.80926859,6.341e-05
2015-02-12,6.209e-05,1423785600,6.403e-05,6.085e-05,6.362e-05,99922.12588684,6.23325314,6.238e-05
2015-02-13,5.777e-05,1423872000,6.283e-05,5.593e-05,6.278e-05,453020.95029802,26.82255656,5.92e-05
2015-02-14,5.748e-05,1423958400,5.914e-05,5.369e-05,5.774e-05,411735.60985832,23.47262785,5.7e-05
2015-02-15,5.826e-05,1424044800,5.999e-05,5.7e-05,5.849e-05,152342.75498551,8.86287147,5.817e-05
2015-02-16,5.72e-05,1424131200,5.918e-05,5.72e-05,5.84e-05,70887.84639987,4.12868437,5.824e-05
2015-02-17,5.808e-05,1424217600,5.884e-05,5.674e-05,5.721e-05,108405.45166266,6.20428082,5.723e-05
2015-02-18,5.638e-05,1424304000,5.874e-05,5.627e-05,5.869e-05,30925.69985512,1.79710407,5.811e-05
2015-02-19,5.404e-05,1424390400,5.698e-05,5.401e-05,5.696e-05,135597.64353119,7.52105449,5.546e-05
2015-02-20,5.479e-05,1424476800,5.485e-05,5.35e-05,5.402e-05,60457.91224143,3.2763194,5.419e-05
2015-02-21,5.574e-05,1424563200,5.688e-05,5.431e-05,5.477e-05,142542.4814544,7.94575153,5.574e-05
2015-02-22,5.659e-05,1424649600,5.745e-05,5.51e-05,5.6e-05,183338.0017993,10.40342696,5.674e-05
2015-02-23,5.43e-05,1424736000,5.692e-05,5.318e-05,5.562e-05,368695.79711967,20.22603415,5.485e-05
2015-02-24,5.521e-05,1424822400,5.628e-05,5.369e-05,5.576e-05,937533.9119831,51.40580688,5.483e-05
2015-02-25,5.536e-05,1424908800,5.64e-05,5.406e-05,5.52e-05,4105182.3772959,225.29591721,5.488e-05
2015-02-26,5.191e-05,1424995200,5.532e-05,5e-05,5.481e-05,2579676.6536924,133.15575204,5.161e-05
2015-02-27,4.919e-05,1425081600,5.292e-05,4.903e-05,5.145e-05,2986811.353085,151.27193527,5.064e-05
2015-02-28,4.497e-05,1425168000,5.099e-05,4.318e-05,5e-05,385044.03466643,18.14823317,4.713e-05
2015-03-01,4.277e-05,1425254400,4.747e-05,4.277e-05,4.492e-05,579447.4688186,26.17518034,4.517e-05
2015-03-02,3.165e-05,1425340800,4.344e-05,2.935e-05,4.301e-05,1237916.40152,45.18417903,3.65e-05
2015-03-03,3.842e-05,1425427200,3.849e-05,3.033e-05,3.122e-05,1125467.3327035,40.67632676,3.614e-05
2015-03-04,4.097e-05,1425513600,4.502e-05,3.825e-05,3.826e-05,795852.82151551,33.76571738,4.242e-05
2015-03-05,3.868e-05,1425600000,4.249e-05,3.6e-05,4.097e-05,457210.51770948,17.57444566,3.843e-05
2015-03-06,3.764e-05,1425686400,4.066e-05,3.616e-05,3.905e-05,221347.72664326,8.50052667,3.84e-05
2015-03-07,3.695e-05,1425772800,3.814e-05,3.6e-05,3.703e-05,385503.3427781,14.03993948,3.641e-05
2015-03-08,3.553e-05,1425859200,3.996e-05,3.458e-05,3.718e-05,537000.42022493,20.07254978,3.737e-05
2015-03-09,3.414e-05,1425945600,3.613e-05,3.327e-05,3.553e-05,376565.96536654,12.91141294,3.428e-05
2015-03-10,3.471e-05,1426032000,3.606e-05,3.398e-05,3.489e-05,507186.50074002,17.62481436,3.475e-05
2015-03-11,3.551e-05,1426118400,3.604e-05,3.35e-05,3.476e-05,481369.22295499,16.8583768,3.502e-05
2015-03-12,3.649e-05,1426204800,3.717e-05,3.3e-05,3.55e-05,352034.78945423,12.56525059,3.569e-05
2015-03-13,3.924e-05,1426291200,4.098e-05,3.651e-05,3.651e-05,586430.83474161,22.89010261,3.903e-05
2015-03-14,3.742e-05,1426377600,4.049e-05,3.665e-05,3.939e-05,297052.98186661,11.40660093,3.839e-05
2015-03-15,3.761e-05,1426464000,3.904e-05,3.5e-05,3.7e-05,295319.26701963,11.03366186,3.736e-05
2015-03-16,3.772e-05,1426550400,3.9e-05,3.2e-05,3.776e-05,325186.05343123,12.03293431,3.7e-05
2015-03-17,3.929e-05,1426636800,4.05e-05,3.765e-05,3.772e-05,443663.96600531,17.43995668,3.93e-05
2015-03-18,3.844e-05,1426723200,4.095e-05,3.72e-05,3.928e-05,807624.51260909,31.47033962,3.896e-05
2015-03-19,3.849e-05,1426809600,3.963e-05,3.75e-05,3.818e-05,228509.03230083,8.81980562,3.859e-05
2015-03-20,3.784e-05,1426896000,3.995e-05,3.715e-05,3.855e-05,528821.28047068,20.14271143,3.808e-05
2015-03-21,3.761e-05,1426982400,3.862e-05,3.751e-05,3.835e-05,123802.9960048,4.72598234,3.817e-05
2015-03-22,3.622e-05,1427068800,3.759e-05,3.618e-05,3.755e-05,168654.5789466,6.24087535,3.7e-05
2015-03-23,3.739e-05,1427155200,3.995e-05,3.55e-05,3.631e-05,218911.66845921,8.26801039,3.776e-05
2015-03-24,3.553e-05,1427241600,3.82e-05,3.509e-05,3.765e-05,225114.3791443,8.15080607,3.62e-05
2015-03-25,3.438e-05,1427328000,3.595e-05,3.407e-05,3.553e-05,72907.47410992,2.54930866,3.496e-05
2015-03-26,3.513e-05,1427414400,3.542e-05,3.419e-05,3.438e-05,305367.34394221,10.65700781,3.489e-05
2015-03-27,3.489e-05,1427500800,3.52e-05,3.444e-05,3.513e-05,410983.38654166,14.34274918,3.489e-05
2015-03-28,3.444e-05,1427587200,3.518e-05,3.342e-05,3.51e-05,4607476.0744942,155.95485248,3.384e-05
2015-03-29,3.275e-05,1427673600,3.494e-05,3.275e-05,3.446e-05,2876653.3074543,96.4301062,3.352e-05
2015-03-30,3.129e-05,1427760000,3.329e-05,3.063e-05,3.277e-05,1076790.9425151,34.53797808,3.207e-05
2015-03-31,3.11e-05,1427846400,3.26e-05,3.067e-05,3.126e-05,161378.1198699,5.10705533,3.164e-05
2015-04-01,3.18e-05,1427932800,3.397e-05,3.11e-05,3.114e-05,293772.19032815,9.36988193,3.189e-05
2015-04-02,3.441e-05,1428019200,3.783e-05,3.123e-05,3.143e-05,1151688.7497464,39.96242244,3.469e-05
2015-04-03,3.38e-05,1428105600,3.499e-05,3.35e-05,3.435e-05,997652.77302755,33.86567395,3.394e-05
2015-04-04,3.359e-05,1428192000,3.464e-05,3.304e-05,3.391e-05,294807.73618086,9.95774293,3.377e-05
2015-04-05,3.475e-05,1428278400,3.599e-05,3.324e-05,3.36e-05,399330.55231313,13.65404611,3.419e-05
2015-04-06,3.588e-05,1428364800,3.65e-05,3.448e-05,3.454e-05,131200.76294134,4.67687137,3.564e-05
2015-04-07,3.7e-05,1428451200,3.8e-05,3.53e-05,3.588e-05,160248.96820157,5.87166197,3.664e-05
2015-04-08,3.531e-05,1428537600,3.779e-05,3.417e-05,3.699e-05,173854.61572776,6.20411299,3.568e-05
2015-04-09,3.628e-05,1428624000,3.632e-05,3.442e-05,3.531e-05,12111.74577774,0.43271837,3.572e-05
2015-04-10,3.391e-05,1428710400,3.628e-05,2.502e-05,3.627e-05,1521471.7250938,49.2977978,3.24e-05
2015-04-11,3.411e-05,1428796800,3.532e-05,3.391e-05,3.422e-05,170925.01193745,5.91997204,3.463e-05
2015-04-12,3.545e-05,1428883200,3.545e-05,3.407e-05,3.491e-05,94096.56976976,3.29605562,3.502e-05
2015-04-13,3.573e-05,1428969600,3.62e-05,3.401e-05,3.545e-05,730037.75132217,25.51591348,3.495e-05
2015-04-14,3.464e-05,1429056000,3.581e-05,3.3e-05,3.571e-05,934606.81158342,32.08802857,3.433e-05
2015-04-15,3.479e-05,1429142400,3.537e-05,3e-05,3.528e-05,1214564.4732552,40.27124749,3.315e-05
2015-04-16,3.525e-05,1429228800,3.621e-05,3.11e-05,3.471e-05,399164.19356533,13.85624082,3.471e-05
2015-04-17,3.51e-05,1429315200,3.54e-05,3.437e-05,3.534e-05,33722.42302347,1.18123874,3.502e-05
2015-04-18,3.524e-05,1429401600,3.534e-05,3.44e-05,3.484e-05,139125.27414182,4.86476334,3.496e-05
2015-04-19,3.501e-05,1429488000,3.605e-05,3.444e-05,3.517e-05,205074.28698873,7.26955737,3.544e-05
2015-04-20,3.457e-05,1429574400,3.57e-05,3.425e-05,3.509e-05,247076.77353417,8.63439455,3.494e-05
2015-04-21,3.418e-05,1429660800,3.501e-05,3.368e-05,3.484e-05,247500.65835972,8.47866599,3.425e-05
2015-04-22,3.352e-05,1429747200,3.431e-05,3.3e-05,3.418e-05,403075.41029933,13.6090646,3.376e-05
2015-04-23,3.35e-05,1429833600,3.44e-05,3.338e-05,3.349e-05,99529.53642608,3.35794307,3.373e-05
