,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg compound
2015-01-01,7.777e-05,1420156800.0,7.801e-05,7.609999999999999e-05,7.68e-05,235543.21283525,18.2835039,0.024587562617337674,
2015-01-02,7.389e-05,1420243200.0,7.85e-05,6.9e-05,7.777e-05,678686.07391529,50.18973558,0.02335231155594375,
2015-01-03,6.876e-05,1420329600.0,7.389e-05,6.584e-05,7.191e-05,1375164.2883451001,94.42195348,0.020701843661269103,
2015-01-04,7.497e-05,1420416000.0,7.597e-05,6.783e-05,6.783e-05,517927.53478003,38.30367447,0.020462412642447053,
2015-01-05,7.311e-05,1420502400.0,7.637e-05,7.159999999999999e-05,7.402e-05,762094.86569564,56.54856633,0.020118550490440732,
2015-01-06,7.2e-05,1420588800.0,7.45e-05,7.007e-05,7.311e-05,637946.40685805,45.54733289,0.013052779108463163,
2015-01-07,7.195e-05,1420675200.0,7.303e-05,7.109e-05,7.23e-05,552159.08269304,39.69100599,0.014066966171569117,
2015-01-08,7.152e-05,1420761600.0,7.409e-05,7.15e-05,7.257e-05,307359.53968308,22.4951508,0.014165891835653864,
2015-01-09,7.11e-05,1420848000.0,7.401e-05,6.878e-05,7.204e-05,956690.55096395,68.05206177,0.02075366314588582,
2015-01-10,7.073e-05,1420934400.0,7.114e-05,6.6e-05,7.112e-05,1322687.3781176,90.74694781,0.0193797374501192,
2015-01-11,6.633e-05,1421020800.0,7.099e-05,6.633e-05,7.087e-05,713222.78210402,49.03010220000001,0.018646303709113965,
2015-01-12,6.474e-05,1421107200.0,6.895e-05,6.1e-05,6.777e-05,625848.02804988,40.87056488,0.017957866733593737,
2015-01-13,8.037e-05,1421193600.0,8.209999999999999e-05,6.441e-05,6.515e-05,1751876.2251507998,129.08056676,0.01744822198306152,
2015-01-14,8.008e-05,1421280000.0,8.6e-05,7.555e-05,8.172e-05,1454204.0445312,116.54100459,0.015680860908512832,
2015-01-15,7.815e-05,1421366400.0,8.099e-05,7.626e-05,7.962e-05,426650.35492821,33.43404032,0.01632621177194328,
2015-01-16,7.606e-05,1421452800.0,7.82e-05,7.59e-05,7.733e-05,106323.33517769999,8.19274118,0.016209788915281985,
2015-01-17,7.496e-05,1421539200.0,7.728e-05,7.163e-05,7.641e-05,305424.16659001,22.79038793,0.014955112201692093,
2015-01-18,7.582e-05,1421625600.0,7.654e-05,7.402e-05,7.497e-05,168064.38156252,12.62051228,0.01575289605243098,
2015-01-19,7.869e-05,1421712000.0,7.871e-05,7.499e-05,7.616e-05,729738.72362093,56.01176062,0.016234419105953333,
2015-01-20,7.475e-05,1421798400.0,8.099e-05,7.475e-05,7.873e-05,546030.57461472,42.25379639,0.016502518717599324,
2015-01-21,7.292e-05,1421884800.0,7.474e-05,7.172e-05,7.474e-05,541471.92172712,39.45551017,0.015786062937365702,
2015-01-22,7.144e-05,1421971200.0,7.414e-05,7.077e-05,7.32e-05,324789.03362701,23.3766565,0.01688381167815628,
2015-01-23,6.666e-05,1422057600.0,7.340000000000001e-05,6.509e-05,7.144e-05,848167.68777904,58.72139581,0.016032794304315527,
2015-01-24,6.507e-05,1422144000.0,6.999e-05,6.481e-05,6.666e-05,531512.8002245999,35.15297475,0.01596421708282665,
